model,prompt,project,metric,mean,std,min,max,runs_available,avg_valid_rows
deepseek-v4-flash,prompt4_pairwise_fewshot,jirasoftware_filtered,mae,2.0707692307692307,0.12990665743128962,1.8923076923076922,2.2153846153846155,5,65.0
deepseek-v4-flash,prompt4_pairwise_fewshot,jirasoftware_filtered,pearson,0.38596110134275524,0.05887522060697373,0.28862249549364766,0.44442077426642707,5,65.0
deepseek-v4-flash,prompt4_pairwise_fewshot,jirasoftware_filtered,rmse,2.93529813433316,0.10392453509431766,2.820256398600339,3.0859483020745704,5,65.0
deepseek-v4-flash,prompt4_pairwise_fewshot,jirasoftware_filtered,spearman,0.46869391579233116,0.05620913420774762,0.4045167863700896,0.5527967467795031,5,65.0
deepseek-v4-flash,prompt4_pairwise_fewshot,mesos,mae,1.3458333333333332,0.03831086667864523,1.2976190476190477,1.3988095238095237,5,336.0
deepseek-v4-flash,prompt4_pairwise_fewshot,mesos,pearson,0.4129187505969649,0.03816490302009951,0.3705193299820599,0.4696710624827508,5,336.0
deepseek-v4-flash,prompt4_pairwise_fewshot,mesos,rmse,2.09090221764475,0.13976728984398826,1.927248223318863,2.246690688016276,5,336.0
deepseek-v4-flash,prompt4_pairwise_fewshot,mesos,spearman,0.45843721442756935,0.016673340400017313,0.4465491419813846,0.487570680750212,5,336.0
deepseek-v4-flash,prompt4_pairwise_fewshot,moodle,mae,5.599145299145299,0.3175992933331582,5.3418803418803416,6.153846153846154,5,234.0
deepseek-v4-flash,prompt4_pairwise_fewshot,moodle,pearson,0.14666883190778587,0.09152160892017508,-0.000886285410017395,0.2380442312673143,5,234.0
deepseek-v4-flash,prompt4_pairwise_fewshot,moodle,rmse,10.601066530490685,2.8362248531408114,9.207948999985001,15.671030488809489,5,234.0
deepseek-v4-flash,prompt4_pairwise_fewshot,moodle,spearman,0.20036652921566298,0.03377399811336491,0.14421091898196492,0.22977894235193985,5,234.0
deepseek-v4-flash,prompt4_pairwise_fewshot,mule,mae,2.338202247191011,0.07088454065432588,2.2752808988764044,2.443820224719101,5,178.0
deepseek-v4-flash,prompt4_pairwise_fewshot,mule,pearson,0.395918895216569,0.04986351336463464,0.34471131377937847,0.45794051088237375,5,178.0
deepseek-v4-flash,prompt4_pairwise_fewshot,mule,rmse,3.222555303145307,0.15210236966806318,3.0894892490870913,3.3878500689799775,5,178.0
deepseek-v4-flash,prompt4_pairwise_fewshot,mule,spearman,0.3615230599522513,0.03390071524463305,0.32327800591912714,0.3985275385250765,5,178.0
deepseek-v4-flash,prompt4_pairwise_fewshot,mulestudio,mae,4.136054421768708,0.09290136247447396,4.01360544217687,4.26530612244898,5,147.0
deepseek-v4-flash,prompt4_pairwise_fewshot,mulestudio,pearson,0.23234151254933125,0.020528356587662146,0.20215257595992464,0.2588569889615662,5,147.0
deepseek-v4-flash,prompt4_pairwise_fewshot,mulestudio,rmse,5.800747127192487,0.08481255122025784,5.708330229901336,5.898806520589308,5,147.0
deepseek-v4-flash,prompt4_pairwise_fewshot,mulestudio,spearman,0.22978365409218143,0.043518184247035276,0.17288764808833942,0.2699307979263195,5,147.0
deepseek-v4-flash,prompt4_pairwise_fewshot,springxd,mae,1.8609065155807365,0.044728716261555,1.8045325779036827,1.9178470254957507,5,706.0
deepseek-v4-flash,prompt4_pairwise_fewshot,springxd,pearson,0.3313819796906216,0.02914259650776587,0.2968201436548665,0.36535043713038345,5,706.0
deepseek-v4-flash,prompt4_pairwise_fewshot,springxd,rmse,2.5803923312738872,0.06722236197473418,2.4913447908419912,2.65003073369318,5,706.0
deepseek-v4-flash,prompt4_pairwise_fewshot,springxd,spearman,0.3780153073736019,0.015567255110047354,0.35429499494183414,0.3961965432625207,5,706.0
deepseek-v4-flash,prompt4_pairwise_fewshot,talenddataquality,mae,2.5574007220216606,0.1257489390949661,2.357400722021661,2.6859205776173285,5,277.0
