model,prompt,project,input_file,n_rows,metric_type,pearson_run1,spearman_run1,valid_n_run1,runtime_sec_run1,pearson_run2,spearman_run2,valid_n_run2,runtime_sec_run2,pearson_run3,spearman_run3,valid_n_run3,runtime_sec_run3,pearson_run4,spearman_run4,valid_n_run4,runtime_sec_run4,pearson_run5,spearman_run5,valid_n_run5,runtime_sec_run5,pearson_mean,pearson_std,spearman_mean,spearman_std,total_runtime_sec,accuracy_run1,accuracy_run2,accuracy_run3,accuracy_run4,accuracy_run5,accuracy_mean,accuracy_std
deepseek-v4-flash,prompt1_zeroshot,talendesb,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/talendesb_deepseek_v4_flash_prompt1_zeroshot_v7.csv,174,numeric_story_point,0.3974013874123872,0.48985539563887626,174,149.1098,0.3781784591761436,0.4855902909056724,174,148.9112,0.5107804301711538,0.5206156043024868,174,151.9824,0.3938806697311033,0.5354169831644796,174,147.5913,0.40910758701260996,0.5008322331818293,174,147.15,0.41786970670067963,0.053101314476442465,0.5064621014386689,0.021105789419655258,744.7447,,,,,,,
deepseek-v4-flash,prompt1_zeroshot,titanium,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/titanium_deepseek_v4_flash_prompt1_zeroshot_v7.csv,451,numeric_story_point,0.4358456475399815,0.4054896650876337,451,381.60119999999995,0.40445463379931235,0.3972325291406643,451,385.2242,0.4365373326396965,0.40117741657594785,451,382.4391,0.3908388901078198,0.40690899272052566,451,384.90020000000004,0.3509220621540755,0.37656731591764875,451,378.1314,0.4037197132481771,0.035577800208458986,0.3974751838884841,0.012289558670429085,1912.2961,,,,,,,
deepseek-v4-flash,prompt1_zeroshot,usergrid,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/usergrid_deepseek_v4_flash_prompt1_zeroshot_v7.csv,97,numeric_story_point,0.2524298236234061,0.2625792436222058,97,80.75610000000002,0.20763249060967523,0.20555773231776062,97,81.8329,0.32070008841886627,0.23967874942332199,97,81.31830000000001,0.18477044664942985,0.24036146101585423,97,80.4816,0.22799755514397524,0.24167489390994315,97,80.6794,0.23870608088907055,0.052203092731062946,0.23797041605781716,0.02048496470806506,405.0683,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,appceleratorstudio,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/appceleratorstudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,584,numeric_story_point,0.26071270468816926,0.3144829031247185,584,854.0062,0.29852783084177104,0.34274331328093643,584,707.6261,0.2488150747982745,0.300824920932135,584,685.3409,0.3190087953280875,0.3654603255238184,584,707.6169,0.30586616597303906,0.3503914568144304,584,686.6077,0.2865861143258683,0.030255743180058615,0.3347805839352077,0.02652043481398473,3641.1978,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,aptanastudio,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/aptanastudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,166,numeric_story_point,0.3861625450317206,0.35988684029018164,166,261.31230000000005,0.2410270011572389,0.31288729138924604,166,186.23539999999997,0.3394928681469293,0.4007927401561013,166,200.6197,0.3865057992254672,0.41941784510823327,166,189.8371,0.21237434674468947,0.2947501199196341,166,179.59180000000003,0.3131125120612091,0.08179746930468311,0.35754696737267927,0.0539481419737037,1017.5963,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,bamboo,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/bamboo_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,105,numeric_story_point,0.2722747942577288,0.34745575561481623,105,117.0845,0.3959145449040712,0.33378935652094993,105,120.65339999999999,0.430490098787729,0.46704021963425724,105,114.83250000000001,0.2368043944817771,0.3112907281388404,105,115.613,0.3720327231323289,0.45348231417337137,105,117.4639,0.34150331111272697,0.08301464694756007,0.3826116748164471,0.07220987044123651,585.6473,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,clover,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/clover_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,77,numeric_story_point,0.7036292376211335,0.658486549347226,77,88.49199999999999,0.5200053111169093,0.6812107954507086,77,83.5331,0.5123306958011785,0.6043784687728831,77,84.49260000000001,0.5821246159781767,0.616656746224293,77,83.6176,0.6635325824736331,0.7033329772919689,77,81.47109999999998,0.5963244885982062,0.08531185074114615,0.6528131074174158,0.04196448068445187,421.6064,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,datamanagement,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/datamanagement_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,934,numeric_story_point,0.3633225211210469,0.4115853227650032,934,1008.7295999999999,0.41052277936025267,0.40225757205588003,934,1069.7582,0.36737363001906354,0.38524657542929935,934,1088.0974,0.41046130279236986,0.3865772330510998,934,1016.5531,0.43698141918658456,0.4091133157964281,934,980.0737,0.3977323304958635,0.03151110501387225,0.3989560038195421,0.012397110842510904,5163.2119999999995,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,duracloud,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/duracloud_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,134,numeric_story_point,0.43490517411158397,0.4020332018616977,134,139.30289999999997,0.4159197628874259,0.49321636728208,134,136.10089999999997,0.39992419617933933,0.510809747207576,134,136.90949999999998,0.43285029298989686,0.4414939287834216,134,137.2369,0.6487878035272734,0.6350970361170823,134,138.05239999999998,0.46647744593910384,0.10289566878261437,0.49653005625037155,0.08856400063471877,687.6025999999999,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,jirasoftware_filtered,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/jirasoftware_filtered_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,65,numeric_story_point,0.44079093748157994,0.498084774061691,65,69.4816,0.310772064101372,0.30323008390013045,65,64.7826,0.381520704942651,0.3259509640732747,65,66.79549999999999,0.3642104920803166,0.3605519477395307,65,65.7669,0.477843572477373,0.4272696587808692,65,66.6378,0.3950275542166585,0.06554367635211682,0.3830174857110992,0.07957080721862192,333.4644,,,,,,,
