dataset,variant,n,spearman,kendall,pearson,mae,rmse,bias_mean,bias_std
moodle,fewshot_v6_mostFrequent_v1,1166,0.471343418028434,0.3919310256805392,0.4750041829950258,11.128644939965694,22.33197217292005,-9.317324185248712,20.29542931694363
moodle,fewshot_v6_scaleAware_v1,1166,0.4690032330780005,0.3796861065709039,0.4502475036488813,11.05917667238422,21.79498659837458,-9.180960548885077,19.76692703034904
moodle,zeroshot_v6,1166,0.443787553218715,0.3692340124159244,0.4134533895590123,12.168096054888508,23.756988680159537,-11.46140651801029,20.809389029429465
mule,fewshot_v6_highLowMid_v1,889,0.480380212465161,0.4114019632492474,0.5193839720340075,2.2125984251968505,3.106472071161897,0.156355455568054,3.102534721872262
mule,fewshot_v6_mostFrequent_v1,889,0.4901149025641902,0.4250316867986967,0.4795338436094156,2.322834645669291,3.3057539229160935,-1.2137232845894264,3.074879637859114
mule,fewshot_v6_scaleAware_v1,889,0.4709161032152138,0.4046895693027759,0.503783609194934,2.3835770528683913,3.3118731764679445,-1.2992125984251968,3.0463996062731367
mule,zeroshot_v6,889,0.4413582599007253,0.3836370402576332,0.4198201668849665,2.3329583802024745,3.2871567235354577,-0.81214848143982,3.1852494673383687
mulestudio,fewshot_v6_highLowMid_v1,732,0.3532767161302383,0.294809233592099,0.287381735433206,3.2459016393442623,5.389729151624305,-0.8524590163934426,5.321888194357185
mulestudio,fewshot_v6_mostFrequent_v1,732,0.2995539093060486,0.2527053994144935,0.1964207104431624,3.2459016393442623,5.614676318714591,-1.5737704918032789,5.389604494122337
mulestudio,fewshot_v6_scaleAware_v1,732,0.3425834610424563,0.2896054430494325,0.2503055459415256,3.418032786885246,5.610294986546213,-0.4672131147540984,5.590806895383469
mulestudio,zeroshot_v6,732,0.2744204629571241,0.2369012705542547,0.1741431672220227,3.3360655737704916,5.785085402546284,-2.109289617486339,5.386846055375857
springxd,fewshot_v6_highLowMid_v1,3526,0.504305496516833,0.4164113823443177,0.4898253190000726,2.361883153715258,3.6823689630192065,1.076574021554169,3.521481159387599
springxd,fewshot_v6_mostFrequent_v1,3526,0.4817065930394025,0.4087097876908472,0.4179097087820687,1.7328417470221211,3.0724841448236724,-0.9098128190584232,2.9346889876901465
springxd,fewshot_v6_scaleAware_v1,3526,0.4920501791601917,0.4096244357054474,0.4771321991702709,2.789279636982416,3.8612859530953134,2.0348837209302326,3.2815815476480723
springxd,zeroshot_v6,3522,0.4282490343441184,0.3699107011018987,0.4137575691761758,2.0090857467348098,3.0027433982871137,0.5417376490630323,2.9534705408289588
talenddataquality,fewshot_v6_highLowMid_v1,1381,0.3571662632483547,0.2963276303116957,0.4141272353911843,3.317161477190442,4.95709323622655,-0.7842143374366402,4.894668653300428
talenddataquality,fewshot_v6_mostFrequent_v1,1381,0.3629566711736368,0.3045178783114315,0.3390738049463667,3.3598841419261403,5.186737389745217,-1.726285300506879,4.891030955885978
talenddataquality,fewshot_v6_scaleAware_v1,1381,0.3658286711729329,0.2973166064362569,0.3822369472546291,3.383779869659667,5.047852118130741,-0.4018826937002172,5.031828823302843
talenddataquality,zeroshot_v6,1381,0.3245473481259511,0.2739258056809979,0.352209393536076,3.385228095582911,5.139262619789236,-1.67632150615496,4.858185513457189
talendesb,fewshot_v6_highLowMid_v1,868,0.5312719430802212,0.4670988179667089,0.4908279568519936,1.4850230414746544,2.0525919323024233,1.1716589861751152,1.6853334568174028
talendesb,fewshot_v6_mostFrequent_v1,868,0.5095223017376649,0.4459426839429399,0.4730473961237664,1.2615207373271888,1.778973452241152,0.9205069124423964,1.5223053464809773
talendesb,fewshot_v6_scaleAware_v1,868,0.5126017588115759,0.4561996893539397,0.4968116438583143,1.6428571428571428,2.057357259692447,1.4285714285714286,1.4805075371232004
talendesb,zeroshot_v6,868,0.4502208190103054,0.3990948224627633,0.3999570094737991,2.838709677419355,3.5070698838926653,2.702764976958526,2.234860319982727
titanium,fewshot_v6_highLowMid_v1,2251,0.3882998128306223,0.3234583771890053,0.439907318739759,3.2749888938249665,4.915184678776284,0.4389160373167481,4.8955482980625655
titanium,fewshot_v6_mostFrequent_v1,2251,0.388931377727412,0.3338071153875462,0.418619948011999,3.1514882274544647,5.113722273105029,-2.1590404264771212,4.635590568987727
titanium,fewshot_v6_scaleAware_v1,2251,0.3983835861460154,0.3344452920582415,0.4078440300487665,3.269657929808974,5.066505721995036,0.5171035095513106,5.040048034634011
titanium,zeroshot_v6,2251,0.3258960659249513,0.2798754698791534,0.3567789442047311,3.190581963571746,5.175464104634123,-2.025766326077299,4.762530786303388
usergrid,fewshot_v6_highLowMid_v1,482,0.3499309064869029,0.3103713336165265,0.3825486917632358,1.3195020746887969,1.9770467098543871,0.941908713692946,1.7382524753370432
usergrid,fewshot_v6_mostFrequent_v1,482,0.3073118761824935,0.2708329981485923,0.3845002376831837,1.2634854771784232,1.9554159282061088,0.6742738589211619,1.8354852806431663
usergrid,fewshot_v6_scaleAware_v1,482,0.3827815135932471,0.3352406110111208,0.4194403332827241,1.3049792531120332,1.9522303448881424,0.8443983402489627,1.760168958505652
usergrid,zeroshot_v6,481,0.2436994412651044,0.2160547733439251,0.266629941082289,1.952182952182952,2.8573136272102095,1.6985446985446986,2.297648160899937
