model,prompt,project,metric_type,runtime_sec_run1,pearson_run1,spearman_run1,mae_run1,rmse_run1,valid_n_run1,runtime_sec_run2,pearson_run2,spearman_run2,mae_run2,rmse_run2,valid_n_run2,runtime_sec_run3,pearson_run3,spearman_run3,mae_run3,rmse_run3,valid_n_run3,runtime_sec_run4,pearson_run4,spearman_run4,mae_run4,rmse_run4,valid_n_run4,runtime_sec_run5,pearson_run5,spearman_run5,mae_run5,rmse_run5,valid_n_run5,total_runtime_sec,pearson_mean,pearson_std,spearman_mean,spearman_std,accuracy_run1,accuracy_run2,accuracy_run3,accuracy_run4,accuracy_run5,accuracy_mean,accuracy_std
qwen,prompt1_zeroshot,mulestudio,numeric_story_point,212010.783,0.4034358509567826,0.4121387977083519,3.6054421768707483,5.3375833406484015,147,109020.197,0.32146866420272213,0.35077859564987207,3.6530612244897958,5.427944825992026,147,87990.419,0.3628647516353667,0.41731207253846025,3.6054421768707483,5.361744055783332,147,89221.169,0.3231613612360623,0.29501815973898465,3.6462585034013606,5.379477252503637,147,87593.212,0.34093568023561827,0.34027053485489456,3.4625850340136055,5.391477275374937,147,585835.78,0.35037326165331034,0.0340466845914368,0.3631036320981127,0.05160399907209857,,,,,,,
qwen,prompt1_zeroshot,springxd,numeric_story_point,1122388.8769999999,0.2664453972046342,0.3207579481535488,2.056657223796034,2.7466178016684313,706,535642.937,0.26831334116763444,0.346221477305159,2.1458923512747874,2.815628178517195,706,450108.09699999995,0.32681005169261035,0.35427881501374103,2.0269121813031163,2.6678762601321617,706,441297.44,0.2990280661003974,0.3541373127341939,2.0694050991501416,2.695868205687411,706,438660.504,0.2743126730903127,0.31262548770059423,2.058073654390935,2.715760318520161,706,2988097.855,0.2869819058511178,0.025798081960673343,0.33760420818144743,0.019579174778972825,,,,,,,
qwen,prompt1_zeroshot,talenddataquality,numeric_story_point,464827.254,0.322070595967935,0.4475877262880468,2.577617328519856,3.955528964156575,277,217288.011,0.35236879917944663,0.41627074341747916,2.595667870036101,3.77766569758941,277,186058.869,0.3720210773828436,0.414650063736636,2.664259927797834,3.764742381432753,277,182263.62499999994,0.37023035744777705,0.4254059671974267,2.703971119133574,3.764262888037007,277,175165.446,0.3130127303545152,0.43981988909177777,2.6534296028880866,4.213181995484626,277,1225603.205,0.3459407120665035,0.02722832649052058,0.4287468779462733,0.014518306808470618,,,,,,,
qwen,prompt1_zeroshot,talendesb,numeric_story_point,316967.74000000005,0.36552344816001636,0.514468960722799,3.3793103448275863,4.0442949742916205,174,139217.883,0.4134588276153084,0.5340422913242387,2.9942528735632186,3.6143074565958826,174,115833.52699999999,0.37034130689703926,0.4991247221957265,3.2241379310344827,4.02077936060494,174,114770.596,0.29032510527281746,0.42782242883505384,3.0977011494252875,3.757750611093346,174,113186.823,0.40500115976927875,0.5411992401636263,2.954022988505747,3.6182805340366446,174,799976.569,0.3689299695428921,0.048673069847600586,0.5033315286482889,0.045333426651578176,,,,,,,
qwen,prompt1_zeroshot,titanium,numeric_story_point,866723.8010000001,0.35825822778407057,0.36678352006177206,2.2439024390243905,3.4978612407331857,451,367451.713,0.12208148401404532,0.34419749138649514,2.388026607538803,5.003546414135033,451,311858.708,0.3418061762135859,0.34734432365713036,2.254988913525499,3.5309841721461717,451,305807.30700000003,0.37145810236867915,0.3524989093911084,2.2172949002217295,3.449348407248795,451,297164.904,0.28614141974448204,0.32009814713490015,2.292682926829268,3.581177697752861,451,2149006.433,0.2959490820249726,0.10248542184551873,0.3461844783262812,0.016955696634241707,,,,,,,
qwen,prompt1_zeroshot,usergrid,numeric_story_point,190533.298,0.20588579233958254,0.16027451508009763,2.020618556701031,2.6901883581009445,97,80687.72,0.10597374222349042,0.1269516506387026,1.9175257731958764,2.7282410027474047,97,67977.246,0.15346811839826716,0.10599142936123901,2.0,2.65935423523336,97,67865.041,0.2982847402259833,0.31942681610735374,1.9278350515463918,2.5826542727944646,97,65882.152,0.21264952274881116,0.22890992798831766,2.0927835051546393,3.061230801592483,97,472945.45700000005,0.1952523831872269,0.07202082505840599,0.18831086783514212,0.08684347433467049,,,,,,,
qwen,prompt2_count,appceleratorstudio,numeric_story_point,64546.23300000001,0.3385293040488024,0.32275908169066075,1.6352739726027397,2.3608536881785582,584,307752.54400000005,0.3566434174231545,0.35649930532003526,1.601027397260274,2.309524650136699,584,314449.036,0.3401536329257639,0.3336740933474074,1.672945205479452,2.4068253403971966,584,313922.82600000006,0.34120436088877326,0.34894533477098344,1.7345890410958904,2.4616928132586557,584,319753.929,0.3316742649804615,0.32255105706974124,1.678082191780822,2.3778371662166222,584,1320424.5680000002,0.3416409960533911,0.00917188505308288,0.33688577443976564,0.015374378479459548,,,,,,,
qwen,prompt2_count,aptanastudio,numeric_story_point,241186.905,0.2641579898593278,0.29661810944719225,3.7048192771084336,5.734591717696622,166,89870.68799999998,0.31704570494054635,0.29986617678495386,3.5421686746987953,5.5872056942517805,166,90784.41400000003,0.4014316801965458,0.40745490011214464,3.4457831325301207,5.3526257490729305,166,92274.791,0.2786903574390846,0.31569707858979723,3.602409638554217,5.698234772109016,166,95001.22899999998,0.2923429049661175,0.2704189707071461,3.753012048192771,5.674398221901851,166,609118.027,0.31073372748032446,0.054314498381327896,0.3180110471282468,0.05257722208208215,,,,,,,
qwen,prompt2_count,bamboo,numeric_story_point,128802.90899999999,0.4394365846074476,0.4002041454148062,1.3333333333333333,1.7888543819998317,105,57967.568999999996,0.5615561647173865,0.4736433522389804,1.3047619047619048,1.7968225924034427,105,58539.564,0.3963682222058847,0.365364505841376,1.3142857142857143,1.7566201313073597,105,60751.316,0.27611174260462484,0.3025679062549895,1.2380952380952381,1.679001971126782,105,60397.349,0.43595120596195086,0.45555067785690545,1.3523809523809525,1.820517979665599,105,366458.70699999994,0.4218847840194589,0.10236564248604978,0.3994661175214115,0.06928287668924855,,,,,,,
qwen,prompt2_count,clover,numeric_story_point,120611.012,0.4282212829453211,0.6277208392583196,3.3896103896103895,7.79860127318879,77,45402.79999999999,0.4530643759364267,0.6825724160697839,3.2337662337662336,7.701408203159232,77,45102.704999999994,0.45683211337882645,0.6407606717294457,3.4415584415584415,7.7064654926633125,77,43553.132000000005,0.4646531168225034,0.5538171887864509,3.4285714285714284,7.787769298672801,77,47607.275,0.46256683207035865,0.6100174082683788,3.3896103896103895,7.750157099371281,77,302276.924,0.45306754423068724,0.014628488067048024,0.6229777048224758,0.04701437841256731,,,,,,,
qwen,prompt2_count,datamanagement,numeric_story_point,1662555.3299999998,0.4169395336497294,0.4494750982359113,5.735546038543897,13.45286799859347,934,601804.681,0.4064289801708293,0.4063224076995196,5.825481798715203,13.47648439659427,934,574601.0179999999,0.4583231980466834,0.44796980009744697,5.749464668094219,13.432119770972708,934,598454.453,0.38691944487328667,0.4326807189837447,5.792291220556745,13.519198815636315,934,594468.298,0.3984142459781548,0.4301603052912504,5.799785867237687,13.507353853995422,934,4031883.78,0.4134050805437367,0.027408984079222685,0.4333216660615745,0.017427465169392097,,,,,,,
qwen,prompt2_count,duracloud,numeric_story_point,253603.215,0.45772764930144527,0.5110030768183944,1.0298507462686568,1.3382992102364115,134,89366.342,0.45891098099588606,0.5327812191614043,1.0597014925373134,1.3929459815307579,134,89295.359,0.4146585290117667,0.5530545981669808,1.0671641791044777,1.3902646585796254,134,85090.459,0.5049492826184334,0.5592959143580768,1.0298507462686568,1.3382992102364115,134,86930.301,0.4836705827745848,0.5269894484201226,1.0522388059701493,1.3466376037453045,134,604285.676,0.4639834049404232,0.03377719442785574,0.5366248513849958,0.019672337853932163,,,,,,,
qwen,prompt2_count,jirasoftware_filtered,numeric_story_point,137069.05899999998,0.38564314412250306,0.46555871552014655,2.353846153846154,2.989725997221407,65,41546.206999999995,0.44024504011388216,0.54094740750891,2.276923076923077,2.971661022184265,65,44979.001,0.419200112496154,0.5373306903653289,2.4461538461538463,3.1403086570492498,65,42673.49,0.481959547840606,0.5529433339505727,2.2,2.8956200345721097,65,47179.630999999994,0.4065752590333571,0.506376986978098,2.5692307692307694,3.2272875011973468,65,313447.388,0.4267246207213004,0.036687878224373,0.5206314268646113,0.035255696000244696,,,,,,,
qwen,prompt2_count,mesos,numeric_story_point,682466.872,0.475771133122496,0.5386186830297747,1.1398809523809523,1.6734979050166863,336,231860.272,0.43302440028673017,0.5011334658965018,1.1011904761904763,1.7147816742886515,336,231091.56199999998,0.4231576223634469,0.45898896311101917,1.1607142857142858,1.735484013727802,336,235497.432,0.4629364112675684,0.5150994120327222,1.1041666666666667,1.7208455839527041,336,227839.95,0.5024898297201743,0.5212787679063909,1.0535714285714286,1.6420805617960927,336,1608756.088,0.45947587935208317,0.032196300401933955,0.5070238583952817,0.030036219153570267,,,,,,,
qwen,prompt2_count,moodle,numeric_story_point,512093.73,0.1853180411222046,0.23869552853380738,6.427350427350428,9.151619351357263,234,163452.81799999997,0.15842437962827907,0.1508658895453127,6.837606837606837,9.22510509981128,234,169572.209,0.17299145740162003,0.17842027426109727,6.645299145299146,9.14718208908843,234,167092.09,0.11100648707537149,0.13487402201439502,6.8760683760683765,9.460443964212251,234,169260.222,0.1300109327588526,0.16827993970411725,6.782051282051282,9.418793723915776,234,1181471.069,0.15155025959726556,0.030638952534157073,0.17422713081174593,0.03969741995530703,,,,,,,
qwen,prompt2_count,mule,numeric_story_point,411096.0399999999,0.5619407384969743,0.5167063904223708,2.134831460674157,2.94328410934361,178,124613.97899999999,0.47345663484450595,0.4658475921163416,2.252808988764045,3.085850273443668,178,127309.232,0.5011566873926279,0.5206269226768272,2.252808988764045,3.045534583431356,178,128954.31899999999,0.532572283430803,0.5079658482630839,2.1741573033707864,2.989682633188849,178,126171.094,0.41606847496408017,0.4274031986062257,2.342696629213483,3.23516493162736,178,918144.6639999999,0.49703896382579826,0.056134123115267116,0.48770999041696983,0.040154355360642324,,,,,,,
qwen,prompt2_count,mulestudio,numeric_story_point,330313.07599999994,0.31544786489362187,0.3371425159527963,3.578231292517007,5.225526045191966,147,106176.162,0.2712320065088371,0.3101050439477827,3.5850340136054424,5.281851870667471,147,105688.60199999998,0.3130070930517074,0.3121994537085894,3.6122448979591835,5.239177377397786,147,108904.017,0.34601903687119673,0.3644871336410889,3.496598639455782,5.179761767957008,147,105575.104,0.365490151390509,0.39702602634044387,3.5170068027210886,5.122313465427046,147,756656.961,0.3222392305431744,0.03594862047727632,0.34419203471814025,0.036872976572593,,,,,,,
qwen,prompt2_count,springxd,numeric_story_point,1744827.154,0.35640059446595307,0.4155722079115382,1.5311614730878187,2.3068441093932837,706,515924.636,0.3293184630084962,0.4095718086811308,1.5637393767705383,2.3455098444890186,706,534922.3059999999,0.3488537180326723,0.39440770146869386,1.5396600566572238,2.3105252459519465,706,536976.409,0.344831705152591,0.3973653191683736,1.5410764872521245,2.3200078147763272,706,542991.183,0.3813858154369786,0.4217469468372527,1.5226628895184136,2.272199269081301,706,3875641.688,0.35215805921933824,0.019095170387431304,0.40773279681339786,0.011686289943475967,,,,,,,
qwen,prompt2_count,talenddataquality,numeric_story_point,742377.838,0.4734752238807901,0.5168083626219171,2.357400722021661,3.521465891026158,277,215648.856,0.4104345615682381,0.43491754077642364,2.3610108303249095,3.6409226426183086,277,219108.718,0.4505542185520343,0.4239005000916396,2.3862815884476536,3.5337465416946117,277,220814.828,0.4444589023104898,0.5037450682823552,2.2815884476534296,3.5270998303133396,277,225073.409,0.4532847945213836,0.47515508292314595,2.3935018050541514,3.5398708903825318,277,1623023.649,0.4464415401665871,0.02288557225347732,0.47090531093909627,0.04095171614890759,,,,,,,
qwen,prompt2_count,talendesb,numeric_story_point,462591.478,0.41095026713874866,0.4656649944488416,1.8563218390804597,2.3255205819367615,174,138768.715,0.3071731635511824,0.44554118842108803,2.028735632183908,2.571953057257389,174,139670.852,0.3465330556182403,0.49389593472676735,2.0402298850574714,2.571953057257389,174,140498.81999999998,0.4222418713543118,0.4909028985898788,1.9425287356321839,2.449489742783178,174,144510.159,0.39615462122613454,0.49584403225665064,2.0402298850574714,2.5808757312644643,174,1026040.0239999999,0.3766105957777236,0.04839837468066129,0.4783698096886453,0.022037570391652023,,,,,,,
